student_id,gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,study_hours_per_week,attendance_rate,math_score,reading_score,writing_score
STU1889,male,group E,bachelor's degree,standard,completed,12.0,89.5,86,76,75.0
STU1257,female,group C,some college,standard,none,2.8,84.8,73,65,55.0
STU1021,male,group B,some college,standard,none,14.0,77.2,76,75,69.0
STU1707,female,group B,high school,standard,none,6.3,92.2,81,76,65.0
STU1804,male,group C,some college,standard,completed,4.1,80.4,75,66,69.0
STU1762,male,group A,associate's degree,standard,completed,11.5,79.8,64,63,57.0
STU1810,female,group D,high school,free/reduced,none,1.9,74.0,64,75,68.0
STU1591,female,group E,bachelor's degree,standard,none,8.9,98.4,94,71,62.0
STU1118,female,group B,some high school,standard,none,5.9,89.9,66,64,55.0
STU1864,male,group E,some college,standard,none,6.0,84.0,51,45,43.0
STU1650,male,group A,high school,free/reduced,none,7.4,83.9,61,53,43.0
STU1684,female,group B,high school,free/reduced,completed,4.2,77.7,76,90,91.0
STU1174,female,group D,high school,standard,completed,10.4,86.6,65,68,69.0
STU1097,male,group B,associate's degree,standard,none,5.0,98.9,64,61,51.0
STU1297,male,group B,some high school,standard,none,7.0,83.3,72,66,59.0
STU1696,male,group A,associate's degree,free/reduced,none,6.7,98.8,62,61,60.0
STU1253,male,group B,bachelor's degree,standard,none,5.4,,65,77,67.0
STU1523,female,group B,some college,standard,none,10.2,70.4,100,89,73.0
STU1781,female,group E,bachelor's degree,standard,none,2.8,85.6,73,66,52.0
STU1109,male,group B,master's degree,standard,none,8.4,78.4,71,74,73.0
STU1155,male,group D,high school,standard,none,4.3,81.3,79,87,77.0
STU1127,female,group C,high school,standard,completed,7.0,82.9,89,75,82.0
STU1859,male,group D,high school,free/reduced,completed,5.3,78.6,65,76,71.0
STU1652,female,group B,some college,free/reduced,none,2.8,91.5,63,59,51.0
STU1207,female,group C,bachelor's degree,free/reduced,none,6.4,100.0,56,56,41.0
STU1062,female,group D,bachelor's degree,standard,completed,12.8,85.7,85,76,70.0
STU1305,female,group E,some college,standard,none,14.2,74.4,56,69,61.0
STU1137,female,group C,associate's degree,free/reduced,none,4.3,84.9,56,43,37.0
STU1497,male,group C,bachelor's degree,free/reduced,none,8.4,82.9,85,79,67.0
STU1582,female,group C,some college,standard,completed,13.9,96.8,76,69,63.0
STU1433,male,group D,high school,standard,completed,6.3,83.1,92,74,73.0
STU1475,female,group D,bachelor's degree,free/reduced,none,1.3,89.0,77,76,60.0
STU1020,female,group D,master's degree,standard,none,12.2,99.1,88,82,68.0
STU1584,female,group E,associate's degree,standard,completed,19.3,100.0,78,75,78.0
STU1750,male,group C,some college,free/reduced,none,9.8,80.9,73,52,41.0
STU1563,male,group B,some high school,standard,none,6.8,,70,57,50.0
STU1220,female,group E,associate's degree,standard,none,10.4,,57,50,41.0
STU1405,female,group C,associate's degree,free/reduced,completed,2.8,83.4,68,73,61.0
STU1101,female,group E,some college,free/reduced,none,7.0,94.6,68,75,66.0
STU1845,male,group B,some college,free/reduced,none,7.1,79.9,60,70,61.0
STU1829,male,group B,,standard,none,9.9,98.8,62,52,50.0
STU1629,male,group C,some college,standard,none,5.1,97.0,83,88,75.0
STU1139,female,group C,bachelor's degree,standard,none,1.8,89.7,95,81,67.0
STU1223,male,group E,high school,standard,completed,1.2,94.9,65,60,62.0
STU1742,female,group D,high school,free/reduced,none,8.8,73.4,65,50,47.0
STU1793,female,group D,high school,free/reduced,none,5.7,90.3,48,50,45.0
STU1918,female,group C,some college,free/reduced,completed,11.1,90.1,83,97,91.0
STU1393,female,group C,high school,standard,none,8.4,81.8,52,45,40.0
STU1365,male,group B,some high school,standard,completed,4.9,88.7,79,66,65.0
STU1974,male,group B,some college,standard,none,4.1,84.7,91,97,88.0
STU1288,male,group A,some college,free/reduced,none,9.5,90.0,79,95,93.0
STU1972,female,group B,associate's degree,standard,none,3.1,86.0,74,65,61.0
STU1960,male,group B,high school,standard,none,5.7,86.1,90,100,96.0
STU1205,male,group D,bachelor's degree,free/reduced,none,4.5,75.4,78,76,73.0
STU1942,female,group D,high school,standard,completed,3.4,95.5,63,69,59.0
STU1667,male,group E,associate's degree,standard,completed,7.7,76.5,96,99,84.0
STU1823,male,group D,high school,standard,none,4.2,76.8,71,81,65.0
STU1986,female,group D,some high school,standard,completed,10.1,100.0,77,78,82.0
STU1806,female,group D,associate's degree,standard,none,14.2,83.9,72,59,44.0
STU1360,male,group E,some high school,free/reduced,none,11.3,86.7,46,41,24.0
STU1014,male,group D,some college,standard,completed,,84.9,81,71,67.0
STU1599,male,group E,some high school,free/reduced,none,16.7,77.1,82,73,63.0
STU1061,male,group E,some college,standard,none,6.6,89.1,63,62,51.0
STU1461,female,group D,bachelor's degree,standard,none,9.2,95.7,93,91,82.0
STU1755,female,group D,high school,standard,completed,5.1,76.7,73,86,87.0
STU1181,male,group C,high school,standard,completed,5.4,91.2,93,92,91.0
STU1638,male,group E,master's degree,standard,completed,6.2,85.9,87,78,70.0
STU1083,male,group E,bachelor's degree,standard,completed,11.5,93.5,91,88,85.0
STU1124,male,group D,master's degree,free/reduced,completed,4.3,70.2,71,81,73.0
STU1641,male,group D,some high school,free/reduced,none,3.7,98.2,24,42,35.0
STU1593,male,group B,some college,standard,none,3.6,76.7,88,78,64.0
STU1382,female,group E,bachelor's degree,standard,none,3.8,86.3,83,86,76.0
STU1597,male,group A,some college,standard,none,6.1,88.9,66,69,67.0
STU1606,male,group A,some high school,free/reduced,completed,8.9,89.1,71,73,67.0
STU1287,female,group C,high school,free/reduced,none,2.6,95.7,69,69,71.0
STU1395,female,group D,some college,free/reduced,completed,17.5,100.0,83,85,67.0
STU1618,female,group C,bachelor's degree,free/reduced,none,8.9,100.0,55,65,59.0
STU1077,male,group D,some college,standard,none,12.0,86.2,49,62,55.0
STU1184,male,group B,associate's degree,standard,none,5.5,94.4,61,70,70.0
STU1809,male,group A,associate's degree,standard,completed,12.2,,72,76,73.0
STU1055,female,group C,associate's degree,free/reduced,none,9.1,100.0,55,56,59.0
STU1646,female,group B,master's degree,standard,completed,3.5,95.3,98,89,83.0
STU1514,male,group B,associate's degree,free/reduced,none,5.6,92.3,68,70,56.0
STU1860,female,group D,bachelor's degree,free/reduced,none,13.9,99.8,81,75,
STU1165,female,group D,master's degree,standard,none,2.6,96.7,66,65,57.0
STU1436,male,group C,some college,standard,none,6.7,86.7,81,85,72.0
STU1927,female,group C,master's degree,free/reduced,none,7.7,90.4,67,65,53.0
STU1802,female,group C,master's degree,free/reduced,completed,8.9,82.5,83,80,68.0
STU1267,female,group C,associate's degree,standard,none,0.9,78.6,87,78,73.0
STU1115,female,group C,high school,free/reduced,none,3.6,80.0,67,69,63.0
STU1170,female,group C,associate's degree,free/reduced,none,6.5,86.8,76,68,55.0
STU1310,male,group A,some college,free/reduced,none,7.3,100.0,66,77,68.0
STU1665,male,group D,high school,standard,completed,6.2,,77,73,78.0
STU1420,female,group C,high school,free/reduced,none,3.0,81.8,47,58,50.0
STU1198,female,group D,some college,standard,none,3.5,80.3,64,57,47.0
STU1816,female,group B,some college,standard,completed,,91.1,87,85,79.0
STU1674,male,group D,bachelor's degree,standard,none,5.4,87.3,85,62,57.0
STU1995,male,group D,bachelor's degree,standard,completed,14.5,86.2,74,58,49.0
STU1789,female,group C,master's degree,free/reduced,none,6.5,87.4,57,66,60.0
STU1218,female,group D,bachelor's degree,free/reduced,completed,4.8,89.1,53,64,66.0
STU1211,female,group C,bachelor's degree,free/reduced,none,4.0,75.6,83,82,83.0
STU1768,male,group C,some college,standard,completed,2.5,97.8,100,97,99.0
STU1130,male,group D,high school,free/reduced,none,4.2,85.3,77,84,78.0
STU1394,male,group C,bachelor's degree,free/reduced,completed,8.8,97.4,86,85,83.0
STU1561,male,group B,associate's degree,free/reduced,none,3.6,91.5,69,59,52.0
STU1199,female,group B,,standard,none,3.0,81.6,88,79,67.0
STU1054,female,group E,bachelor's degree,free/reduced,completed,6.6,,90,94,90.0
STU1562,male,group D,some high school,standard,completed,2.3,78.5,77,84,81.0
STU1600,male,group B,associate's degree,standard,none,5.7,84.5,100,96,96.0
STU1853,female,group D,bachelor's degree,free/reduced,none,1.3,88.8,62,49,38.0
STU1976,female,group B,bachelor's degree,standard,none,2.4,99.7,77,58,51.0
STU1483,female,group A,high school,free/reduced,none,3.4,74.9,68,75,63.0
STU1566,male,group D,high school,standard,none,2.2,85.2,57,58,58.0
STU1769,female,group C,associate's degree,standard,none,10.7,78.3,75,82,81.0
STU1875,male,group C,some college,standard,completed,4.3,89.5,81,73,69.0
STU1803,female,group B,master's degree,free/reduced,none,8.3,94.6,68,60,48.0
STU1329,male,group C,some high school,free/reduced,completed,9.0,93.8,78,80,78.0
STU1828,female,group D,some college,free/reduced,none,2.6,85.6,43,45,38.0
STU1492,male,group B,associate's degree,free/reduced,none,9.8,,77,62,62.0
STU1772,male,group E,bachelor's degree,standard,none,6.7,96.5,63,79,71.0
STU1925,male,group A,bachelor's degree,standard,none,4.9,100.0,63,39,31.0
STU1397,male,group B,some high school,free/reduced,none,,76.4,76,82,68.0
STU1552,female,group D,bachelor's degree,standard,none,1.0,83.2,83,88,79.0
STU1626,male,group B,some high school,standard,none,6.0,72.1,48,47,41.0
STU1147,female,group D,some college,free/reduced,none,,90.6,46,41,46.0
STU1279,female,group C,some high school,free/reduced,none,7.0,,66,56,55.0
STU1962,male,group D,high school,standard,none,5.9,92.2,77,75,71.0
STU1254,male,group D,bachelor's degree,standard,none,9.5,81.6,63,54,47.0
STU1353,male,group D,bachelor's degree,standard,completed,5.1,85.3,59,54,53.0
STU1611,female,group D,some high school,standard,none,3.7,86.7,47,57,46.0
STU1053,female,group D,master's degree,standard,none,5.1,92.7,76,73,67.0
STU1392,male,group B,some college,free/reduced,completed,5.0,100.0,88,96,89.0
STU1790,male,group B,associate's degree,standard,none,11.1,85.1,76,82,64.0
STU1788,male,group A,master's degree,standard,none,7.3,85.2,91,95,84.0
STU1230,female,group E,associate's degree,standard,completed,11.3,88.3,85,90,89.0
STU1146,female,group D,some college,free/reduced,none,7.8,81.5,60,67,54.0
STU1924,male,group D,some college,free/reduced,none,7.5,77.8,82,88,86.0
STU1871,male,group B,master's degree,standard,none,1.0,91.4,70,63,50.0
STU1807,female,group B,high school,standard,completed,9.4,79.8,77,71,77.0
STU1878,male,group B,associate's degree,standard,none,5.4,93.5,75,76,68.0
STU1794,male,group A,some college,standard,none,6.3,85.3,83,75,65.0
STU1732,female,group C,some high school,standard,completed,2.7,78.3,100,100,93.0
STU1301,female,group E,some college,free/reduced,completed,4.0,80.9,63,54,50.0
STU1399,female,group D,associate's degree,standard,none,4.3,83.6,74,80,67.0
STU1162,female,group C,some college,standard,none,1.8,91.6,51,54,48.0
STU1983,male,group C,bachelor's degree,standard,completed,8.4,91.7,97,92,79.0
STU1777,female,group C,high school,standard,none,3.5,99.4,67,68,55.0
STU1347,male,group C,some college,standard,none,2.5,98.7,78,58,47.0
STU1280,female,group C,high school,standard,none,11.7,89.6,83,66,53.0
STU1902,male,group D,some high school,free/reduced,none,5.6,81.9,76,84,77.0
STU1811,female,group D,associate's degree,standard,completed,2.3,86.6,94,91,72.0
STU1009,female,group C,some college,standard,none,6.6,80.1,66,74,61.0
STU1270,female,group D,some high school,standard,completed,4.7,80.5,79,84,77.0
STU1716,female,group A,,standard,none,2.8,70.0,80,80,71.0
STU1494,male,group C,some college,free/reduced,completed,9.6,76.6,70,71,65.0
STU1285,male,group C,high school,standard,none,15.3,89.6,61,58,55.0
STU1444,female,group E,some college,free/reduced,none,7.9,,91,89,80.0
STU1848,female,group E,some college,free/reduced,completed,2.7,85.7,86,96,85.0
STU1681,male,group E,bachelor's degree,standard,none,2.7,90.7,82,76,65.0
STU1814,female,group A,some college,standard,completed,6.4,,78,81,79.0
STU1099,male,group C,some college,standard,none,3.9,87.0,67,57,47.0
STU1862,female,group B,master's degree,standard,none,10.8,73.3,98,95,87.0
STU1495,male,group D,some college,standard,none,2.6,91.2,84,65,59.0
STU1432,female,group C,master's degree,free/reduced,none,,100.0,59,73,53.0
STU1958,male,group D,high school,standard,none,10.3,91.8,81,79,68.0
STU1166,male,group D,associate's degree,free/reduced,none,12.8,88.3,64,65,67.0
STU1161,female,group B,associate's degree,standard,none,7.5,75.8,73,70,62.0
STU1136,female,group D,some high school,free/reduced,completed,6.9,82.8,54,64,64.0
STU1645,female,group D,some college,standard,completed,2.7,88.5,78,91,90.0
STU1016,male,group B,some college,free/reduced,completed,7.2,87.9,72,57,52.0
STU1113,female,group C,bachelor's degree,standard,none,6.8,83.6,91,75,66.0
STU1007,female,group D,associate's degree,standard,none,,88.8,65,50,47.0
STU1195,male,group E,some college,standard,none,11.4,89.3,63,58,51.0
STU1718,male,group E,bachelor's degree,standard,none,10.0,85.8,64,70,65.0
STU1173,male,group B,bachelor's degree,standard,none,6.7,84.9,81,73,60.0
STU1881,female,group E,bachelor's degree,free/reduced,none,7.9,100.0,69,58,48.0
STU1870,male,group D,bachelor's degree,standard,none,2.4,95.3,98,81,68.0
STU1797,female,group A,associate's degree,standard,completed,4.3,81.6,51,53,52.0
STU1473,female,group C,associate's degree,free/reduced,none,6.9,100.0,70,62,62.0
STU1204,female,group C,associate's degree,free/reduced,none,1.6,97.8,71,79,73.0
STU1849,female,group D,some college,standard,none,3.9,90.0,76,69,76.0
STU1654,male,group A,associate's degree,standard,none,5.7,87.8,80,63,51.0
STU1485,female,group C,master's degree,standard,completed,5.0,78.4,91,100,83.0
STU1909,male,group B,high school,standard,none,8.7,100.0,69,74,64.0
STU1692,female,group C,some high school,free/reduced,none,6.7,83.6,44,46,37.0
STU1003,female,group D,,standard,none,7.5,85.8,66,71,63.0
STU1377,male,group C,associate's degree,standard,completed,4.8,82.2,86,85,87.0
STU1741,male,group D,high school,free/reduced,none,2.5,69.0,70,72,60.0
STU1358,female,group B,some college,free/reduced,none,3.0,94.0,54,65,56.0
STU1919,male,group C,high school,free/reduced,none,3.6,85.2,60,62,57.0
STU1276,female,group B,associate's degree,free/reduced,none,7.8,,85,89,76.0
STU1266,female,group C,associate's degree,standard,completed,1.5,91.7,88,74,73.0
STU1634,male,group E,associate's degree,standard,none,3.0,86.0,97,89,75.0
STU1229,female,group C,high school,standard,none,6.9,100.0,85,72,61.0
STU1996,female,group E,high school,standard,none,4.4,79.6,74,68,50.0
STU1730,male,group C,associate's degree,standard,none,4.1,86.7,62,56,47.0
STU1445,female,group B,high school,standard,completed,7.8,78.3,73,61,61.0
STU1373,female,group C,,free/reduced,none,6.1,96.5,51,61,53.0
STU1969,male,group A,some college,standard,none,23.0,86.8,66,68,64.0
STU1625,male,group D,master's degree,standard,completed,2.2,75.6,74,83,69.0
STU1116,female,group A,some college,free/reduced,completed,8.0,80.6,99,100,92.0
STU1222,male,group C,some high school,standard,completed,1.8,92.2,68,59,59.0
STU1458,male,group B,some college,free/reduced,none,3.0,96.7,72,63,53.0
STU1200,female,group D,master's degree,standard,completed,8.8,88.8,90,89,88.0
STU1549,female,group D,some high school,standard,completed,2.3,89.5,96,90,85.0
STU1966,female,group B,associate's degree,standard,completed,1.6,79.0,81,89,87.0
STU1342,male,group E,some high school,standard,completed,7.3,100.0,73,98,97.0
STU1822,male,group C,associate's degree,free/reduced,none,11.0,85.8,87,78,75.0
STU1786,female,group D,master's degree,standard,completed,1.0,66.4,48,49,41.0
STU1783,male,group D,associate's degree,free/reduced,none,4.8,82.4,74,65,63.0
STU1985,female,group A,master's degree,free/reduced,none,4.0,87.4,88,80,76.0
STU1391,male,group A,high school,free/reduced,none,5.7,89.7,63,64,50.0
STU1685,female,group E,,standard,none,5.3,99.8,59,59,54.0
STU1517,female,group E,some college,standard,completed,25.0,96.1,78,61,59.0
STU1479,female,group C,associate's degree,standard,none,1.8,89.0,72,60,56.0
STU1034,female,group A,associate's degree,standard,none,0.5,93.0,100,100,96.0
STU1720,female,group B,bachelor's degree,standard,none,5.0,79.2,58,56,55.0
STU1008,female,group B,some high school,free/reduced,completed,10.9,90.7,55,48,44.0
STU1526,male,group B,high school,free/reduced,completed,7.7,80.0,60,81,75.0
STU1984,female,group B,some college,free/reduced,none,6.1,96.4,63,61,55.0
STU1319,male,group A,some college,free/reduced,none,7.2,96.2,66,67,63.0
STU1440,male,group E,some college,standard,completed,7.0,84.9,78,80,79.0
STU1525,male,group B,high school,standard,none,3.3,77.2,76,66,58.0
STU1910,female,group C,high school,standard,completed,6.9,81.2,77,72,74.0
STU1348,male,group E,associate's degree,standard,completed,12.8,100.0,86,88,93.0
STU1094,female,group B,high school,standard,none,3.5,87.1,50,42,30.0
STU1543,female,group B,associate's degree,standard,none,12.2,88.7,72,56,53.0
STU1700,female,group E,some college,standard,none,4.5,76.1,72,72,66.0
STU1209,male,group E,bachelor's degree,standard,none,11.4,94.2,95,100,100.0
STU1175,male,group C,bachelor's degree,standard,completed,5.5,64.8,74,65,74.0
STU1480,female,group D,high school,standard,none,12.6,84.2,53,62,60.0
STU1281,male,group D,some college,standard,completed,7.0,96.8,89,90,83.0
STU1106,male,group C,bachelor's degree,free/reduced,completed,11.7,78.2,71,82,73.0
STU1615,female,group D,some high school,standard,none,10.6,98.2,58,59,60.0
STU1251,male,group C,bachelor's degree,standard,none,7.8,91.1,82,73,67.0
STU1949,female,group C,bachelor's degree,standard,completed,6.7,90.1,75,65,63.0
STU1389,female,group C,associate's degree,free/reduced,none,12.4,89.2,55,53,45.0
STU1679,female,group D,some college,standard,none,5.8,87.2,80,66,60.0
STU1975,male,group E,some high school,free/reduced,none,2.0,88.3,61,66,55.0
STU1327,female,group D,some high school,standard,completed,7.9,92.8,78,91,79.0
STU1012,female,group E,bachelor's degree,standard,completed,3.9,73.8,71,79,79.0
STU1815,female,group E,associate's degree,standard,completed,2.1,81.5,73,70,71.0
STU1622,male,group C,some college,standard,none,5.4,71.4,99,70,67.0
STU1719,female,group B,some high school,standard,completed,2.8,95.8,81,82,74.0
STU1213,male,group D,master's degree,free/reduced,none,,94.7,85,88,70.0
STU1216,male,group A,bachelor's degree,standard,none,3.8,74.7,76,69,61.0
STU1670,male,group C,associate's degree,standard,none,3.7,85.1,75,60,60.0
STU1613,male,group C,associate's degree,free/reduced,none,1.6,88.6,56,53,45.0
STU1422,male,group A,associate's degree,free/reduced,none,8.2,93.8,72,64,58.0
STU1567,male,group A,high school,free/reduced,none,5.7,83.3,82,71,66.0
STU1421,female,group C,some high school,standard,completed,2.1,81.0,69,83,72.0
STU1068,male,group C,high school,standard,completed,2.5,90.4,57,58,61.0
STU1553,female,group E,master's degree,standard,completed,4.4,83.1,78,55,56.0
STU1085,male,group C,some college,free/reduced,none,8.3,89.4,45,51,46.0
STU1767,female,group C,high school,standard,none,6.7,85.1,74,76,69.0
STU1466,male,group E,some college,standard,none,6.9,85.6,100,77,76.0
STU1429,male,group E,bachelor's degree,standard,completed,5.7,95.0,89,82,77.0
STU1417,male,group B,some high school,free/reduced,none,8.0,90.1,51,58,50.0
STU1851,female,group D,high school,standard,none,5.7,75.7,88,84,65.0
STU1196,female,group E,some college,free/reduced,none,1.9,97.4,67,59,57.0
STU1844,male,group E,some college,standard,none,14.8,83.1,51,38,34.0
STU1284,female,group C,high school,standard,none,11.3,100.0,70,62,50.0
STU1111,male,group B,high school,standard,none,1.9,71.0,52,52,40.0
STU1544,female,group E,some high school,free/reduced,none,11.8,95.3,68,52,47.0
STU1884,female,group B,some high school,free/reduced,none,3.8,96.7,55,71,66.0
STU1913,male,group C,master's degree,free/reduced,none,4.6,100.0,57,66,61.0
STU1499,female,group E,some college,free/reduced,none,3.5,85.1,74,89,74.0
STU1290,male,group C,associate's degree,standard,none,7.1,100.0,60,62,62.0
STU1388,female,group E,associate's degree,standard,none,5.1,87.1,76,53,60.0
STU1359,female,group C,high school,free/reduced,none,5.2,88.7,88,82,68.0
STU1406,male,group D,some college,free/reduced,completed,8.7,88.4,58,66,69.0
STU1364,female,group D,some college,free/reduced,none,1.0,78.9,100,88,83.0
STU1524,female,group C,bachelor's degree,standard,completed,12.3,99.1,95,81,80.0
STU1574,female,group B,high school,free/reduced,completed,12.8,81.5,76,92,87.0
STU1780,female,group A,some high school,standard,none,9.1,81.9,73,76,68.0
STU1112,female,group B,high school,free/reduced,none,4.2,93.8,100,96,85.0
STU1102,male,group E,high school,free/reduced,none,2.7,89.5,68,72,76.0
STU1414,female,group C,some college,free/reduced,none,5.6,88.5,77,72,59.0
STU1589,male,group D,associate's degree,standard,completed,4.5,87.9,70,75,75.0
STU1190,male,group A,,standard,completed,6.6,93.2,74,76,64.0
STU1905,female,group B,some high school,standard,none,9.1,77.5,57,71,58.0
STU1697,female,group B,high school,free/reduced,none,3.9,84.3,40,56,45.0
STU1052,female,group E,high school,standard,completed,7.9,86.9,86,78,66.0
STU1028,female,group C,high school,free/reduced,completed,6.0,88.2,87,88,76.0
STU1065,female,group D,associate's degree,standard,none,6.9,85.9,92,96,89.0
STU1779,female,group D,high school,free/reduced,none,4.7,95.1,96,88,79.0
STU1890,female,group A,high school,free/reduced,none,6.7,90.9,53,57,53.0
STU1594,female,group D,high school,standard,none,5.4,83.9,82,77,70.0
STU1308,female,group C,some high school,standard,completed,2.2,95.6,80,84,81.0
STU1386,male,group D,some college,standard,completed,3.7,92.4,66,67,61.0
STU1354,male,group C,associate's degree,standard,none,2.6,85.5,62,84,71.0
STU1749,female,group B,associate's degree,free/reduced,completed,4.0,71.8,74,74,69.0
STU1159,female,group A,associate's degree,standard,none,11.2,93.7,100,100,100.0
STU1186,female,group D,bachelor's degree,standard,none,7.3,93.2,96,87,77.0
STU1244,male,group D,bachelor's degree,free/reduced,none,8.2,100.0,73,79,80.0
STU1795,female,group A,associate's degree,free/reduced,none,5.2,87.7,65,66,55.0
STU1912,female,group E,associate's degree,standard,none,4.7,80.2,86,80,68.0
STU1157,female,group E,some college,standard,completed,1.5,85.2,73,73,64.0
STU1126,female,group A,associate's degree,free/reduced,completed,5.8,85.6,50,59,60.0
STU1322,female,group E,associate's degree,free/reduced,completed,10.6,90.7,76,70,
STU1642,male,group C,associate's degree,standard,completed,2.2,86.6,83,79,76.0
STU1212,female,group B,some high school,standard,none,9.7,91.9,51,41,36.0
STU1103,female,group E,associate's degree,standard,none,3.6,84.6,54,56,56.0
STU1687,male,group C,some college,standard,none,2.7,86.2,64,64,58.0
STU1520,female,group A,associate's degree,standard,completed,2.9,100.0,82,90,88.0
STU1941,female,group C,associate's degree,free/reduced,none,5.5,89.0,72,55,45.0
STU1228,female,group E,high school,standard,none,8.7,81.5,80,85,71.0
STU1928,female,group D,associate's degree,free/reduced,completed,5.1,94.7,100,93,95.0
STU1182,female,group D,some high school,standard,completed,4.2,86.1,83,85,84.0
STU1710,female,group B,associate's degree,standard,none,7.9,76.9,74,67,59.0
STU1736,male,group C,master's degree,free/reduced,none,7.5,92.2,64,65,65.0
STU1197,female,group E,bachelor's degree,free/reduced,none,3.0,91.2,48,58,55.0
STU1757,female,group C,bachelor's degree,standard,completed,5.0,,90,95,86.0
STU1462,female,group B,associate's degree,standard,completed,8.5,66.3,88,81,75.0
STU1451,female,group C,master's degree,free/reduced,none,4.5,100.0,65,65,62.0
STU1965,male,group C,associate's degree,free/reduced,none,8.8,97.0,46,58,63.0
STU1908,male,group C,high school,standard,completed,6.0,79.2,59,40,41.0
STU1836,female,group B,master's degree,free/reduced,none,4.7,89.7,91,100,88.0
STU1486,male,group C,some college,standard,none,8.4,85.9,59,53,53.0
STU1050,female,group E,some college,standard,completed,2.6,91.7,78,85,75.0
STU1944,male,group D,associate's degree,standard,completed,3.6,88.2,78,70,73.0
STU1415,male,group E,master's degree,standard,none,6.8,85.0,59,42,37.0
STU1676,male,group A,some college,standard,none,18.4,84.5,53,51,52.0
STU1366,female,group D,some high school,standard,none,11.8,89.9,63,60,52.0
STU1534,female,group C,associate's degree,standard,none,8.3,88.6,92,82,72.0
STU1234,male,group D,associate's degree,standard,none,4.1,94.8,74,63,54.0
STU1489,female,group C,some college,standard,none,5.8,87.7,51,42,37.0
STU1954,male,group E,bachelor's degree,standard,none,12.8,83.9,68,60,46.0
STU1581,female,group C,bachelor's degree,free/reduced,none,8.1,92.9,45,49,48.0
STU1401,female,group B,some high school,standard,none,14.1,88.3,85,73,65.0
STU1698,male,group E,associate's degree,free/reduced,none,5.7,83.0,64,73,64.0
STU1438,female,group B,some college,free/reduced,completed,2.5,80.9,60,60,67.0
STU1527,male,group C,master's degree,free/reduced,completed,3.5,85.3,100,100,100.0
STU1724,female,group D,some college,standard,none,3.3,78.5,65,62,53.0
STU1368,male,group B,some college,standard,none,9.9,83.3,57,67,67.0
STU1151,male,group D,high school,standard,none,1.4,76.0,62,59,56.0
STU1956,female,group D,associate's degree,free/reduced,none,5.4,74.0,76,63,63.0
STU1852,male,group E,high school,standard,completed,8.6,100.0,85,94,84.0
STU1029,male,group D,associate's degree,standard,none,4.8,92.1,76,62,52.0
STU1773,male,group E,some college,free/reduced,completed,7.7,85.9,45,54,57.0
STU1238,female,group E,some high school,standard,completed,16.7,95.8,78,65,59.0
STU1199,female,group B,,standard,none,3.0,81.6,88,79,67.0
STU1955,male,group E,associate's degree,free/reduced,completed,9.9,80.6,91,74,70.0
STU1731,female,group D,some college,free/reduced,none,3.4,92.8,45,54,44.0
STU1323,male,group B,high school,standard,none,11.2,100.0,57,48,45.0
STU1628,male,group A,some college,free/reduced,completed,2.6,95.2,66,74,71.0
STU1945,male,group C,some high school,standard,completed,9.6,80.8,34,41,42.0
STU1858,female,group D,some high school,standard,completed,4.2,86.3,71,68,64.0
STU1379,male,group C,associate's degree,free/reduced,none,5.5,77.9,57,72,74.0
STU1558,female,group D,some high school,standard,completed,2.1,86.1,35,33,29.0
STU1515,male,group A,bachelor's degree,free/reduced,none,6.4,93.1,70,66,63.0
STU1030,female,group A,high school,standard,completed,14.0,80.1,77,75,73.0
STU1666,male,group B,some high school,free/reduced,none,7.4,95.0,72,66,58.0
STU1980,male,group B,some college,free/reduced,completed,4.5,99.5,63,65,56.0
STU1350,female,group E,associate's degree,standard,completed,4.0,97.8,68,70,69.0
STU1652,female,group B,some college,free/reduced,none,2.8,91.5,63,59,51.0
STU1763,female,group C,some college,standard,none,3.8,91.1,70,57,50.0
STU1051,female,group C,some college,standard,completed,,100.0,89,67,66.0
STU1507,female,group C,some college,standard,none,7.8,90.9,56,53,51.0
STU1036,male,group C,some high school,standard,completed,4.3,89.6,97,94,92.0
STU1609,female,group C,some high school,free/reduced,none,19.4,87.1,74,75,57.0
STU1078,male,group B,master's degree,standard,completed,5.1,96.8,96,92,84.0
STU1013,male,group A,some high school,standard,none,7.3,90.9,53,52,50.0
STU1675,female,group C,high school,standard,completed,5.1,90.5,74,82,74.0
STU1058,male,group C,associate's degree,standard,completed,5.5,75.0,78,64,
STU1575,female,group A,associate's degree,standard,none,2.9,94.9,100,91,84.0
STU1233,female,group A,bachelor's degree,standard,completed,1.6,89.0,85,77,76.0
STU1774,female,group D,some college,free/reduced,none,1.6,98.1,74,68,59.0
STU1869,female,group D,some college,standard,completed,7.6,88.5,69,81,73.0
STU1412,female,group B,some college,standard,completed,3.4,92.7,88,79,76.0
STU1743,female,group A,high school,standard,completed,2.0,92.9,91,96,84.0
STU1478,female,group D,some high school,standard,none,5.0,95.9,100,87,77.0
STU1193,female,group D,some college,standard,completed,2.0,81.1,63,63,59.0
STU1384,female,group D,high school,standard,completed,1.9,94.6,89,100,100.0
STU1404,male,group D,associate's degree,free/reduced,completed,7.8,96.7,64,69,61.0
STU1590,male,group D,bachelor's degree,free/reduced,none,4.4,84.9,76,65,63.0
STU1045,female,group C,associate's degree,free/reduced,none,9.2,85.2,68,80,73.0
STU1487,male,group D,,standard,none,4.9,99.0,50,52,50.0
